test_id,test_name,risk_domain,nist_csf_2_function,nist_csf_2_category,osfi_b13_domain,cis_v8_1_control,ffiec_domain,nist_800_53_family
T001,Dormant Privileged Accounts,IAM,Protect,PR.AA,Identity and Access Management,CIS 6 Access Control Management,Access Rights Administration,AC
T002,Users Without MFA,IAM,Protect,PR.AA,Identity and Access Management,CIS 5 Account Management,Authentication and Access Control,IA
T003,Service Accounts Without Owner,IAM,Govern,GV.OC,Technology Asset Management,CIS 5 Account Management,Access Rights Administration,AC
T004,High-Risk Vulnerabilities Past SLA,Vulnerability Management,Identify,ID.RA,Cyber Security Monitoring and Response,CIS 7 Continuous Vulnerability Management,Information Security Operations,RA
T005,Stale Access After Termination,IAM,Protect,PR.AA,Identity and Access Management,CIS 5 Account Management,Access Rights Administration,AC
T006,Unsupported OS in Production,Infrastructure Security,Protect,PR.PS,Technology Operations,CIS 4 Secure Configuration of Enterprise Assets and Software,Information Security Operations,CM
T007,Backup Failures on Critical Assets,Resilience,Recover,RC.RP,Disaster Recovery and Resilience,CIS 11 Data Recovery,Business Continuity and Resilience,CP
T008,Failed DR Tests Without Retest,Resilience,Recover,RC.IM,Disaster Recovery and Resilience,CIS 11 Data Recovery,Business Continuity and Resilience,CP
T009,Public or Overly Broad Storage Policies,Cloud Security,Protect,PR.DS,Cyber Security,CIS 3 Data Protection,Information Security Operations,SC
T010,Overly Permissive Firewall Rules,Network Security,Protect,PR.PT,Technology Operations,CIS 12 Network Infrastructure Management,Network Security,SC
